ণ্ঠ্য ণ্ঠ্যা ণ্ঠ্যি ণ্ঠ্যী ণ্ঠ্যু ণ্ঠ্যূ ণ্ঠ্যে ণ্ঠ্যো
ণ্ড ণ্ডা ণ্ডি ণ্ডী ণ্ডু ণ্ডূ ণ্ডে ণ্ডো
ণ্ড্য ণ্ড্যা ণ্ড্যি ণ্ড্যী ণ্ড্যু ণ্ড্যূ ণ্ড্যে ণ্ড্যো
ণ্ড্র ণ্ড্রা ণ্ড্রি ণ্ড্রী ণ্ড্রু ণ্ড্রূ ণ্ড্রে ণ্ড্রো
ণ্ঢ ণ্ঢা ণ্ঢি ণ্ঢী ণ্ঢু ণ্ঢূ ণ্ঢে ণ্ঢো
ণ্ণ ণ্ণা ণ্ণি ণ্ণী ণ্ণু ণ্ণূ ণ্ণে ণ্ণো
ণ্ব ণ্বা ণ্বি ণ্বী ণ্বু ণ্বূ ণ্বে ণ্বো
ণ্ম ণ্মা ণ্মি ণ্মী ণ্মু ণ্মূ ণ্মে ণ্মো
ণ্য ণ্যা ণ্যি ণ্যী ণ্যু ণ্যূ ণ্যে ণ্যো
ত্ত ত্তা ত্তি ত্তী ত্তু ত্তূ ত্তে ত্তো
ত্ত্ব ত্ত্বা ত্ত্বি ত্ত্বী ত্ত্বূ ত্ত্ব ত্ত্বে ত্ত্বো
ত্থ ত্থা ত্থি ত্থী ত্থু ত্থূ ত্থে ত্থো
ত্ন ত্না ত্নি ত্নী ত্নু ত্নূ ত্নে ত্নো
ত্ব ত্বা ত্বি ত্বী ত্বু ত্বূ ত্বে ত্বো
ত্ম ত্মা ত্মি ত্মী ত্মু ত্মূ ত্মে ত্মো
ত্ম্য ত্ম্যা ত্ম্যি ত্ম্যী ত্ম্যু ত্ম্যূ ত্ম্যে ত্ম্যো
ত্য ত্যা ত্যি ত্যী ত্যু ত্যূ ত্যে ত্যো
ত্র ত্রা ত্রি ত্রী ত্রু ত্রূ ত্রে ত্রো
ত্র্য ত্র্যা ত্র্যি ত্র্যী ত্র্যু ত্র্যূ ত্র্যে ত্র্যো
থ্ব থ্বা থ্বি থ্বী থ্বু থ্বূ থ্বে থ্বো
থ্য থ্যা থ্যি থ্যী থ্যু থ্যূ থ্যে থ্যো
থ্র থ্রা থ্রি থ্রী থ্রু থ্রূ থ্রে থ্রো
দ্গ দ্গা দ্গি দ্গী দ্গু দ্গূ দ্গে দ্গো
দ্ঘ দ্ঘা দ্ঘি দ্ঘী দ্ঘু দ্ঘূ দ্ঘে দ্ঘো
দ্দ দ্দা দ্দি দ্দী দ্দু দ্দূ দ্দে দ্দো
দ্ধ দ্ধা দ্ধি দ্ধী দ্ধু দ্ধূ দ্ধে দ্ধো
দ্ভ দ্ভা দ্ভি দ্ভী দ্ভু দ্ভূ দ্ভে দ্ভো
দ্ব দ্বা দ্বি দ্বী দ্বু দ্বূ দ্বে দ্বো
দ্ব্য দ্ব্যা দ্ব্যি দ্ব্যী দ্ব্যু দ্ব্যূ দ্ব্যে দ্ব্যো
দ্ম দ্মা দ্মি দ্মী দ্মু দ্মূ দ্মে দ্মো
দ্য দ্যা দ্যি দ্যী দ্যু দ্যূ দ্যে দ্যো
দ্র দ্রা দ্রি দ্রী দ্রু দ্রূ দ্রে দ্রো
দ্র্য দ্র্যা দ্র্যি দ্র্যী দ্র্যু দূ্র্য দ্র্যে দ্র্যো
ধ্ন ধ্না ধ্নি ধ্নী ধ্নু ধ্নূ ধ্নে ধ্নো
ধ্ব ধ্বা ধ্বি ধ্বী ধ্বু ধ্বূ ধ্বে ধ্বো
ধ্ম ধ্মা ধ্মি ধ্মী ধ্মু ধ্মূ ধ্মে ধ্মো
ধ্য ধ্যা ধ্যি ধ্যী ধ্যু ধ্যূ ধ্যে ধ্যো
ধ্র ধ্রা ধ্রি ধ্রী ধ্রু ধ্রূ ধ্রে ধ্রো
ন্ট ন্টা ন্টি ন্টী ন্টু ন্টূ ন্টে ন্টো
ন্ঠ ন্ঠা ন্ঠি ন্ঠী ন্ঠু ন্ঠূ ন্ঠে ন্ঠো
ন্ড ন্ডা ন্ডি ন্ডী ন্ডু ন্ডূ ন্ডে ন্ডো
ন্ড্র ন্ড্রা ন্ড্রি ন্ড্রী ন্ড্রু ন্ড্রূ ন্ড্রে ন্ড্রো
ন্ত ন্তা ন্তি ন্তী ন্তু ন্তূ ন্তে ন্তো
ন্ত্ব ন্ত্বা ন্ত্বি ন্ত্বী ন্ত্বু ন্ত্বূ ন্ত্বে ন্ত্বো
ন্ত্য ন্ত্যা ন্ত্যি ন্ত্যী ন্ত্যু ন্ত্যূ ন্ত্যে ন্ত্যো
